Ranking,Country,Score,Political Context,Economic Context,Legal Framework,Safety Score,Sociocultural Context,Difference In Position From 2022
34,Seychelles,75.71,74.38,59.41,76.98,87.56,80.23,-21
35,Taiwan,75.54,73.83,53.4,80.75,92.06,77.65,3
36,Spain,75.37,72.12,60.33,78.74,82.51,83.13,-4
37,Andorra,75.05,74.69,55.39,77.12,92.78,75.28,16
38,North Macedonia,74.35,72.33,54.95,84.99,81.27,78.2,19
39,Montenegro,74.28,72.13,58.04,81.51,83.25,76.48,24
40,Argentina,73.36,75.25,49.8,90.66,74.27,76.82,-11
41,Italy,72.05,64.2,55.04,80.32,86.83,73.86,17
42,Croatia,71.95,67.56,51.07,81.82,84.71,74.59,6
43,Dominican Republic,71.88,71.48,52.45,76.53,82.5,76.42,-13
44,Tonga,71.29,70.31,56.86,60.38,93.89,75,5
45,United States,71.22,76.56,69.76,77.31,52.49,80,-3
46,Gambia,71.06,66.88,59.22,60.75,83.46,85,4
47,South Korea,70.83,63.51,55.81,70.03,87.26,77.53,-4
48,Suriname,70.62,63.13,60.78,47.17,91.11,90.91,4
49,Armenia,70.61,63.75,48.53,73.82,83.98,82.95,2
50,Slovenia,70.59,66.25,46.41,79.64,84.72,75.95,4
51,Belize,70.49,61.98,53.92,68.11,88.89,79.55,-4
52,Uruguay,70.33,62.73,55.08,78.73,80.2,74.9,-8
53,Romania,69.04,59.65,49.24,71.86,83.03,81.44,3
54,Ivory Coast,68.83,66.98,58.01,71.07,71.79,76.33,-17
55,Cyprus,68.62,64.66,53.12,71.89,88.44,64.98,10
